2026-08-22 11:25:50.951 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 11:25:50.956 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=11:40:50
2026-08-22 11:25:50.958 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 11:35:48.318 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 11:35:48.760 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 11:35:48.762 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=11:50:48
2026-08-22 11:35:48.762 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 11:40:22.348 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 11:40:22.724 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 11:40:22.725 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=11:55:22
2026-08-22 11:40:22.726 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 11:56:03.976 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 11:56:04.387 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 11:56:04.388 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=12:11:04
2026-08-22 11:56:04.389 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 12:11:45.401 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 12:11:45.765 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 12:11:45.767 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=12:26:45
2026-08-22 12:11:45.767 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 12:20:11.095 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 12:20:12.297 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 12:20:12.303 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=12:35:12
2026-08-22 12:20:12.306 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 12:36:03.936 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 12:36:04.598 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 12:36:04.601 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=12:51:04
2026-08-22 12:36:04.602 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 12:51:52.993 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 12:51:53.602 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 12:51:53.605 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=13:06:53
2026-08-22 12:51:53.606 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 13:07:42.949 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 13:07:43.420 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 13:07:43.422 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=13:22:43
2026-08-22 13:07:43.422 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 13:23:29.214 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 13:23:30.051 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 13:23:30.053 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=13:38:30
